tick,season,season_tick,total_food,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_curiosity,agent_b_curiosity,agent_a_stress,agent_b_stress,agent_a_fatigue,agent_b_fatigue,agent_a_social,agent_b_social,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,agent_a_generation,agent_b_generation,distance
100,Spring,100,528.3,71.54,59.28,0.103,0.333,0.0,0.094,0.0,0.0,0.0,0.0,1.0,1.0,0.016,0.016,15,10,30,22,0,0,70.94
200,Spring,200,619.2,137.15,37.29,0.0,0.539,0.0,0.347,0.0,0.0,0.0,0.006,0.57,0.06,0.007,0.003,18,3,52,12,1,2,72.35
300,Spring,300,714.3,106.62,109.43,0.0,0.196,0.153,0.477,0.882,0.0,0.0,0.016,0.11,0.01,0.003,0.0,5,15,29,22,2,4,66.03
400,Spring,400,808.2,44.12,115.46,0.542,0.0,0.031,0.517,0.0,0.0,0.001,0.015,1.0,0.0,0.014,0.013,20,35,44,40,2,4,61.22
500,Summer,0,896.0,31.24,89.76,0.674,0.106,0.119,0.662,0.0,0.0,0.022,0.013,0.74,0.01,0.009,0.011,6,58,23,64,3,4,51.89
600,Summer,100,1081.7,106.15,79.8,0.0,0.223,0.391,0.801,0.0,0.0,0.0,0.012,0.6,0.01,0.036,0.037,17,79,23,84,4,4,44.01
700,Summer,200,1258.4,148.35,93.85,0.0,0.0,0.569,0.982,0.0,0.0,0.0,0.011,1.0,0.0,0.065,0.066,42,101,36,106,4,4,28.0
800,Summer,300,1426.4,103.02,103.68,0.0,0.0,0.46,0.923,0.0,0.0,0.0,0.01,1.0,0.0,0.107,0.107,76,121,60,126,4,4,36.4
900,Summer,400,1594.3,100.34,74.82,0.0,0.041,0.361,0.831,0.0,0.0,0.0,0.009,1.0,0.0,0.078,0.078,104,144,66,148,4,4,43.28
1000,Autumn,0,1769.2,98.23,87.68,0.0,0.0,0.265,0.595,0.494,0.0,0.0,0.008,0.05,0.0,0.002,0.038,1,167,33,171,5,4,59.03
1100,Autumn,100,1796.7,80.94,84.02,0.172,0.0,0.329,0.798,0.0,0.0,0.0,0.007,1.0,0.0,0.034,0.047,13,191,37,195,5,4,45.28
1200,Autumn,200,1847.0,46.04,62.13,0.521,0.332,0.122,0.575,0.0,0.0,0.007,0.007,1.0,0.02,0.026,0.031,23,210,40,206,5,4,54.41
1300,Autumn,300,1878.0,31.24,101.8,0.669,0.0,0.19,0.838,0.0,0.0,0.037,0.006,1.0,0.0,0.029,0.031,37,232,47,227,5,4,41.23
1400,Autumn,400,1902.8,147.67,83.84,0.0,0.036,0.598,0.994,0.0,0.0,0.0,0.006,0.77,0.0,0.1,0.108,46,254,62,249,6,4,29.7
1500,Winter,0,1928.7,75.87,72.44,0.177,0.223,0.415,0.849,0.0,0.0,0.0,0.005,1.0,0.01,0.123,0.125,76,277,86,260,6,4,42.01
1600,Winter,100,1871.0,144.77,149.16,0.0,0.0,0.704,0.879,0.0,0.0,0.0,0.005,1.0,0.2,0.134,0.136,98,316,97,284,6,4,21.26
1700,Winter,200,1819.2,149.58,80.8,0.0,0.0,0.727,0.996,0.0,0.0,0.0,0.004,0.98,0.0,0.23,0.23,127,333,124,301,6,4,21.54
1800,Winter,300,1736.7,145.24,79.82,0.0,0.197,0.784,0.962,0.0,0.0,0.0,0.004,1.0,0.01,0.234,0.234,191,358,187,326,6,4,16.28
1900,Winter,400,1683.8,150.0,80.7,0.0,0.0,0.679,0.998,0.0,0.0,0.0,0.003,0.46,0.0,0.466,0.463,221,376,215,344,6,4,28.28
2000,Spring,0,1637.4,81.71,99.08,0.093,0.0,0.429,0.835,0.0,0.0,0.0,0.003,1.0,0.0,0.228,0.226,242,399,228,364,6,4,41.05
2100,Spring,100,1722.4,78.02,92.8,0.207,0.008,0.336,0.734,0.0,0.0,0.0,0.003,0.35,0.0,0.014,0.099,6,422,118,377,7,4,46.53
2200,Spring,200,1779.4,80.95,150.0,0.174,0.0,0.579,0.811,0.0,0.0,0.0,0.002,1.0,0.38,0.092,0.123,30,489,125,434,7,4,26.57
2300,Spring,300,1857.2,89.37,93.19,0.0,0.004,0.552,0.971,0.0,0.0,0.0,0.002,1.0,0.0,0.125,0.136,54,515,136,460,7,4,33.14
2400,Spring,400,1939.9,85.54,83.37,0.109,0.043,0.264,0.702,0.0,0.0,0.0,0.002,0.27,0.0,0.011,0.066,5,535,69,479,8,4,54.15
2500,Summer,0,2019.3,110.47,95.06,0.0,0.116,0.458,0.868,0.0,0.0,0.0,0.002,0.34,0.01,0.023,0.044,11,559,40,501,9,4,41.05
2600,Summer,100,2183.6,84.81,85.93,0.056,0.071,0.369,0.854,0.0,0.0,0.0,0.002,1.0,0.0,0.042,0.05,26,575,42,514,9,4,41.11
2700,Summer,200,2333.3,134.66,91.41,0.0,0.047,0.481,0.95,0.0,0.0,0.0,0.002,1.0,0.0,0.054,0.057,43,598,52,536,9,4,34.23
2800,Summer,300,2469.9,79.74,93.61,0.168,0.0,0.313,0.798,0.0,0.0,0.0,0.001,1.0,0.0,0.055,0.056,59,618,55,556,9,4,44.28
