tick,season,season_tick,total_food,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_curiosity,agent_b_curiosity,agent_a_stress,agent_b_stress,agent_a_fatigue,agent_b_fatigue,agent_a_social,agent_b_social,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,agent_a_generation,agent_b_generation,distance
100,Spring,100,485.5,136.4,114.82,0.0,0.0,0.273,0.271,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16,14,40,32,0,0,62.48
200,Spring,200,580.9,107.0,149.0,0.0,0.0,0.106,0.391,0.885,0.326,0.0,0.0,0.14,0.26,0.0,0.0,5,13,25,37,1,1,67.48
300,Spring,300,681.3,48.53,24.44,0.268,0.746,0.0,0.363,0.0,0.0,0.0,0.0,1.0,0.13,0.0,0.0,17,9,43,33,1,2,77.08
400,Spring,400,777.2,147.0,128.9,0.0,0.0,0.248,0.545,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,29,5,56,11,2,6,63.03
500,Summer,0,870.0,106.1,18.41,0.0,0.837,0.137,0.141,0.8,0.0,0.0,0.03,0.06,0.03,0.0,0.0,4,24,30,32,3,6,68.12
600,Summer,100,1056.5,93.72,150.0,0.0,0.0,0.304,0.348,0.0,0.212,0.0,0.0,1.0,0.22,0.0,0.0,29,14,58,34,3,8,57.01
700,Summer,200,1237.8,150.0,65.57,0.0,0.017,0.325,0.619,0.651,0.0,0.0,0.0,0.17,0.0,0.0,0.0,13,32,39,52,4,8,56.8
800,Summer,300,1427.4,84.69,59.41,0.0,0.0,0.399,0.661,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28,54,45,74,4,8,50.01
900,Summer,400,1587.5,150.0,150.0,0.0,0.0,0.262,0.273,0.696,0.192,0.0,0.0,0.3,0.42,0.0,0.0,22,38,44,73,5,9,62.17
1000,Autumn,0,1764.3,101.06,39.5,0.0,0.216,0.28,0.287,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41,45,59,74,5,9,60.03
1100,Autumn,100,1804.4,75.14,102.8,0.515,0.0,0.796,0.399,0.0,0.0,0.0,0.0,0.09,0.77,0.0,0.0,55,12,70,46,5,10,52.2
1200,Autumn,200,1845.3,57.43,91.4,0.273,0.0,0.811,0.481,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,78,4,93,25,5,11,43.01
1300,Autumn,300,1875.3,74.46,134.1,0.0,0.0,0.652,0.323,0.0,0.318,0.0,0.0,0.0,0.11,0.0,0.0,98,4,113,19,5,12,57.56
1400,Autumn,400,1904.6,44.75,65.23,0.446,0.0,0.799,0.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,118,18,132,31,5,12,45.01
1500,Winter,0,1943.6,49.6,90.6,0.338,0.0,0.923,0.594,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,135,1,148,18,5,13,33.24
1600,Winter,100,1898.6,54.72,6.44,0.28,0.912,0.791,0.151,0.0,0.0,0.0,0.05,0.02,1.0,0.0,0.0,155,9,167,23,5,13,42.19
1700,Winter,200,1848.9,88.43,30.93,0.0,0.667,0.859,0.571,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,176,6,188,18,5,14,37.64
1800,Winter,300,1798.6,42.58,150.0,0.444,0.0,1.0,0.81,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,198,24,210,35,5,15,15.26
1900,Winter,400,1734.0,84.31,150.0,0.161,0.0,1.0,0.725,0.0,0.0,0.0,0.0,0.02,0.16,0.0,0.0,222,65,234,75,5,15,24.76
2000,Spring,0,1664.9,37.88,150.0,0.128,0.0,0.892,0.642,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,245,119,257,128,5,15,31.83
2100,Spring,100,1737.5,59.29,143.2,0.634,0.0,0.934,0.599,0.0,0.0,0.001,0.0,0.01,1.0,0.0,0.0,270,154,278,162,5,15,34.44
2200,Spring,200,1784.2,76.57,150.0,0.236,0.0,0.944,0.646,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,292,223,300,228,5,15,29.83
2300,Spring,300,1849.6,60.54,133.0,0.321,0.0,0.923,0.573,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,311,258,319,258,5,15,37.16
2400,Spring,400,1925.4,47.08,74.2,0.463,0.241,0.898,0.61,0.0,0.0,0.011,0.0,0.0,1.0,0.0,0.0,335,273,338,268,5,15,33.54
2500,Summer,0,1999.9,53.72,150.0,0.423,0.0,0.973,0.643,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,351,297,346,280,5,15,30.15
2600,Summer,100,2152.5,55.64,148.65,0.364,0.0,1.0,0.868,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,370,375,365,283,5,15,11.18
2700,Summer,200,2299.8,49.61,150.0,0.632,0.0,1.0,0.823,0.0,0.0,0.0,0.0,0.01,0.16,0.055,0.035,391,387,385,283,5,15,15.62
2800,Summer,300,2393.2,53.27,150.0,0.342,0.0,0.946,0.616,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,410,465,404,350,5,15,33.3
2900,Summer,400,2511.1,87.62,93.15,0.0,0.0,0.861,0.573,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,430,486,424,364,5,15,37.59
3000,Autumn,0,2621.8,66.07,150.0,0.253,0.0,1.0,0.691,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,448,539,441,365,5,15,26.57
3100,Autumn,100,2629.6,75.65,101.23,0.502,0.0,0.951,0.56,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,467,566,458,366,5,15,36.14
3200,Autumn,200,2637.8,47.34,83.52,0.439,0.0,1.0,0.673,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,483,575,474,370,5,15,28.23
3300,Autumn,300,2623.5,67.86,125.38,0.261,0.0,0.856,0.527,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,501,631,489,410,5,15,39.56
3400,Autumn,400,2642.6,59.59,40.98,0.105,0.572,0.682,0.44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,520,639,502,410,5,15,48.27
3500,Winter,0,2652.7,61.52,100.97,0.295,0.0,1.0,0.683,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,535,664,513,414,5,15,26.25
3600,Winter,100,2555.3,60.01,150.0,0.635,0.0,1.0,0.657,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,554,751,526,441,5,15,29.55
3700,Winter,200,2487.3,73.63,68.72,0.139,0.258,0.837,0.508,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,569,774,537,446,5,15,42.06
3800,Winter,300,2424.1,43.63,68.84,0.473,0.101,0.881,0.531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,587,785,555,451,5,15,41.15
3900,Winter,400,2358.1,58.8,78.36,0.587,0.011,0.999,0.604,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,606,797,574,454,5,15,33.12
4000,Spring,0,2294.1,70.8,118.83,0.044,0.0,1.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,624,825,592,460,5,15,10.2
4100,Spring,100,2353.9,55.39,150.0,0.107,0.0,1.0,0.694,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,644,861,611,468,5,15,27.2
4200,Spring,200,2411.6,63.38,100.3,0.201,0.0,0.763,0.433,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,664,891,630,468,5,15,48.38
4300,Spring,300,2456.5,95.03,122.0,0.0,0.0,0.641,0.383,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,685,923,646,468,5,15,53.71
4400,Spring,400,2507.4,58.57,101.5,0.301,0.0,0.69,0.361,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,702,940,654,468,5,15,54.15
4500,Summer,0,2550.8,85.89,142.1,0.0,0.0,0.65,0.362,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,720,18,668,251,5,16,53.94
4600,Summer,100,2666.4,61.94,55.6,0.224,0.0,0.775,0.446,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,737,24,679,251,5,16,47.51
4700,Summer,200,2737.8,94.1,144.0,0.252,0.0,0.543,0.215,0.0,0.0,0.0,0.0,0.01,0.55,0.0,0.0,755,35,695,156,5,17,65.86
4800,Summer,300,2828.2,29.95,36.75,0.623,0.257,0.438,0.0,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0,773,45,704,156,5,17,74.25
4900,Summer,400,2886.9,69.54,119.7,0.132,0.0,0.599,0.269,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,15,34,355,106,6,18,62.2
5000,Autumn,0,2952.3,91.48,100.7,0.0,0.0,0.624,0.336,0.0,0.405,0.0,0.0,0.0,0.09,0.0,0.0,33,3,367,53,6,19,56.82
5100,Autumn,100,2946.5,54.92,75.87,0.281,0.0,0.742,0.392,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50,20,380,55,6,19,51.48
5200,Autumn,200,2944.5,58.56,105.9,0.374,0.0,0.847,0.497,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,68,5,394,30,6,20,44.01
5300,Autumn,300,2939.4,93.0,74.24,0.0,0.239,0.742,0.483,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86,11,412,36,6,20,44.1
5400,Autumn,400,2935.7,47.68,4.24,0.325,0.939,0.742,0.118,0.0,0.0,0.0,0.08,0.0,1.0,0.0,0.0,103,15,428,38,6,20,51.87
5500,Winter,0,2929.3,84.06,51.6,0.0,0.21,0.64,0.382,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,124,13,446,25,6,21,51.11
5600,Winter,100,2854.9,74.87,112.03,0.0,0.0,0.71,0.452,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,142,7,462,19,6,22,47.38
5700,Winter,200,2789.5,49.93,31.72,0.425,0.269,0.734,0.384,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,159,13,473,22,6,22,52.35
5800,Winter,300,2714.5,95.12,150.0,0.06,0.0,0.727,0.392,0.0,0.305,0.0,0.0,0.02,0.15,0.0,0.0,179,5,491,21,6,23,51.08
5900,Winter,400,2647.7,57.86,30.86,0.334,0.268,0.623,0.273,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,197,13,505,28,6,23,62.61
6000,Spring,0,2586.6,59.1,75.72,0.642,0.106,0.794,0.378,0.0,0.0,0.0,0.0,0.01,0.87,0.0,0.0,217,9,520,23,6,24,51.4
6100,Spring,100,2647.2,52.6,45.82,0.311,0.045,0.667,0.317,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,234,16,535,27,6,24,57.69
6200,Spring,200,2701.8,76.12,109.0,0.039,0.0,0.685,0.355,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,251,16,549,32,6,25,55.07
6300,Spring,300,2749.2,55.42,32.19,0.14,0.251,0.653,0.303,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,269,23,567,33,6,25,60.03
6400,Spring,400,2794.7,77.17,89.3,0.0,0.0,0.716,0.416,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,288,11,579,23,6,26,50.93
6500,Summer,0,2837.9,108.24,138.1,0.0,0.0,0.472,0.25,0.0,0.0,0.0,0.0,0.18,0.42,0.0,0.0,311,20,587,33,6,27,63.41
6600,Summer,100,2932.5,45.48,18.04,0.373,0.794,0.478,0.235,0.0,0.0,0.0,0.01,0.37,1.0,0.0,0.0,331,23,590,32,6,27,64.5
6700,Summer,200,2975.1,75.33,119.16,0.512,0.0,0.69,0.287,0.0,0.0,0.0,0.0,0.01,0.88,0.0,0.0,38,31,323,50,7,28,59.91
6800,Summer,300,3038.8,50.92,26.16,0.267,0.393,0.706,0.376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55,39,337,50,7,28,54.23
6900,Summer,400,3083.8,59.55,114.54,0.355,0.0,0.731,0.381,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,72,31,354,41,7,29,51.24
7000,Autumn,0,3129.8,47.14,107.9,0.411,0.0,0.841,0.491,0.0,0.294,0.0,0.0,0.0,0.01,0.0,0.0,91,1,368,20,7,30,44.6
7100,Autumn,100,3112.7,54.45,149.67,0.365,0.0,1.0,0.694,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,108,24,382,37,7,30,26.0
7200,Autumn,200,3059.5,67.59,150.0,0.553,0.0,1.0,0.646,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,126,79,399,91,7,30,29.0
7300,Autumn,300,2985.2,50.73,150.0,0.363,0.0,1.0,0.704,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,145,153,412,164,7,30,25.5
7400,Autumn,400,2913.6,55.31,149.67,0.373,0.0,1.0,0.703,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,162,231,428,240,7,30,25.18
7500,Winter,0,2865.5,43.47,145.75,0.483,0.0,0.991,0.591,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,179,287,442,289,7,30,33.29
7600,Winter,100,2749.0,93.85,133.34,0.0,0.0,0.838,0.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,198,345,457,339,7,30,37.22
7700,Winter,200,2662.7,91.51,150.0,0.0,0.0,0.918,0.63,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,216,379,471,370,7,30,30.27
7800,Winter,300,2567.3,52.06,96.7,0.376,0.0,0.86,0.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,233,415,484,405,7,30,42.58
7900,Winter,400,2496.4,74.13,138.1,0.0,0.0,0.945,0.656,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,252,433,498,415,7,30,30.07
8000,Spring,0,2430.7,87.71,79.88,0.0,0.049,0.812,0.523,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,271,441,511,415,7,30,41.59
8100,Spring,100,2484.3,51.57,81.75,0.315,0.113,0.88,0.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,290,451,523,423,7,30,40.16
8200,Spring,200,2517.7,54.64,150.0,0.333,0.0,0.958,0.608,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,307,478,537,449,7,30,32.39
8300,Spring,300,2539.4,57.06,145.0,0.373,0.0,0.941,0.591,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,326,518,553,488,7,30,33.97
8400,Spring,400,2541.2,59.62,150.0,0.039,0.0,1.0,0.854,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,346,583,568,528,7,30,11.18
8500,Summer,0,2563.3,58.45,150.0,0.09,0.0,1.0,0.717,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,366,656,584,547,7,30,24.08
8600,Summer,100,2597.4,45.46,149.73,0.462,0.0,0.994,0.707,0.0,0.0,0.0,0.0,0.01,0.86,0.0,0.0,387,734,598,624,7,30,24.84
8700,Summer,200,2654.0,77.1,150.0,0.074,0.0,1.0,0.728,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,406,787,602,663,7,30,22.8
8800,Summer,300,2708.9,53.19,149.46,0.275,0.0,1.0,0.831,0.0,0.0,0.0,0.0,0.02,0.74,0.0,0.0,424,837,616,688,7,30,14.32
8900,Summer,400,2776.3,64.15,150.0,0.137,0.0,1.0,0.776,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,440,861,628,694,7,30,20.02
9000,Autumn,0,2801.3,66.75,150.0,0.617,0.0,1.0,0.707,0.0,0.0,0.0,0.0,0.01,0.96,0.0,0.0,459,947,636,729,7,30,24.21
9100,Autumn,100,2740.1,80.55,150.0,0.155,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.02,0.99,0.0,0.0,480,1027,649,809,7,30,25.71
9200,Autumn,200,2700.4,68.42,148.6,0.092,0.0,1.0,0.751,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,497,1080,664,859,7,30,20.25
9300,Autumn,300,2693.0,46.89,123.42,0.599,0.0,1.0,0.914,0.0,0.0,0.0,0.0,0.01,0.18,0.1,0.1,516,1104,678,871,7,30,8.06
9400,Autumn,400,2677.4,77.85,150.0,0.096,0.0,1.0,0.691,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,536,1146,694,887,7,30,25.63
9500,Winter,0,2667.8,59.15,147.52,0.389,0.0,1.0,0.799,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,552,1194,707,889,7,30,17.03
9600,Winter,100,2575.3,58.74,106.02,0.345,0.0,0.888,0.538,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,571,1251,722,897,7,30,39.05
9700,Winter,200,2510.1,61.42,100.0,0.23,0.0,0.728,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,588,0,734,449,7,31,50.16
9800,Winter,300,2441.3,51.87,67.6,0.38,0.14,0.759,0.409,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,605,18,749,456,7,31,51.09
9900,Winter,400,2374.3,62.15,40.91,0.12,0.117,0.763,0.433,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,625,27,765,457,7,31,47.17
10000,Spring,0,2312.1,63.59,87.6,0.0,0.0,0.639,0.31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,643,41,780,463,7,31,57.43
10100,Spring,100,2377.3,44.8,115.0,0.468,0.0,0.751,0.351,0.0,0.354,0.0,0.0,0.0,0.03,0.0,0.0,659,2,789,233,7,32,56.08
10200,Spring,200,2430.6,82.91,96.56,0.0,0.0,0.77,0.481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,678,16,801,248,7,32,44.0
10300,Spring,300,2488.2,42.99,138.0,0.459,0.0,0.963,0.563,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,692,9,809,129,7,33,36.22
10400,Spring,400,2515.8,54.83,150.0,0.365,0.0,1.0,0.816,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,710,54,817,166,7,33,14.32
10500,Summer,0,2558.0,66.99,128.73,0.505,0.0,1.0,0.895,0.0,0.0,0.0,0.0,0.01,0.0,0.22,0.2,728,63,829,174,7,33,8.94
10600,Summer,100,2608.2,65.67,150.0,0.052,0.0,1.0,0.836,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,748,133,840,204,7,33,12.65
10700,Summer,200,2701.4,49.56,123.81,0.414,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.14,765,135,855,206,7,33,5.66
10800,Summer,300,2758.5,46.87,150.0,0.162,0.0,1.0,0.738,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,784,167,869,220,7,33,20.81
10900,Summer,400,2799.6,65.14,142.8,0.054,0.0,0.904,0.575,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,802,222,875,247,7,33,35.23
