tick,season,season_tick,total_food,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_curiosity,agent_b_curiosity,agent_a_stress,agent_b_stress,agent_a_fatigue,agent_b_fatigue,agent_a_social,agent_b_social,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,agent_a_generation,agent_b_generation,distance
4400,Spring,400,2693.1,97.53,110.42,0.0,0.0,0.519,0.832,0.0,0.0,0.051,0.001,1.0,0.0,0.047,0.047,62,406,73,448,19,10,42.2
4500,Summer,0,2744.1,38.25,99.71,0.602,0.139,0.35,0.86,0.0,0.0,0.111,0.001,1.0,0.01,0.029,0.028,68,429,76,456,19,10,41.18
4600,Summer,100,2848.0,46.13,86.17,0.523,0.043,0.36,0.892,0.0,0.0,0.147,0.0,1.0,0.0,0.027,0.027,79,453,81,464,19,10,43.01
4700,Summer,200,2927.7,113.33,100.02,0.0,0.0,0.552,0.876,0.0,0.0,0.146,0.0,1.0,0.0,0.06,0.06,90,473,84,474,19,10,38.47
4800,Summer,300,2996.3,47.33,112.51,0.374,0.117,0.34,0.714,0.0,0.0,0.134,0.0,1.0,0.01,0.046,0.046,102,493,85,489,19,10,52.77
4900,Summer,400,3056.5,82.26,82.98,0.162,0.079,0.226,0.575,0.0,0.0,0.201,0.0,1.0,0.0,0.036,0.036,119,512,91,497,19,10,65.51
5000,Autumn,0,3102.9,150.0,93.42,0.0,0.063,0.283,0.681,0.845,0.0,0.0,0.0,0.15,0.02,0.005,0.019,14,536,51,501,20,10,60.83
5100,Autumn,100,3086.3,30.05,143.3,0.681,0.0,0.275,0.605,0.0,0.0,0.019,0.0,1.0,0.13,0.021,0.027,35,563,63,507,20,10,43.46
5200,Autumn,200,3076.0,124.42,102.57,0.0,0.0,0.466,0.802,0.115,0.0,0.0,0.0,0.05,0.0,0.003,-0.007,2,577,33,518,21,10,44.78
5300,Autumn,300,3064.9,37.67,99.6,0.605,0.0,0.193,0.571,0.0,0.0,0.007,0.0,1.0,0.0,0.02,0.016,8,595,36,533,21,10,60.83
5400,Autumn,400,3048.2,99.64,99.95,0.0,0.0,0.462,0.802,0.0,0.0,0.0,0.0,0.68,0.0,0.025,0.029,16,614,34,552,22,10,46.52
5500,Winter,0,3042.2,65.98,82.98,0.316,0.088,0.303,0.694,0.0,0.0,0.0,0.0,1.0,0.0,0.029,0.031,26,632,40,563,22,10,55.22
5600,Winter,100,2969.5,51.62,106.4,0.257,0.0,0.39,0.568,0.0,0.0,0.004,0.0,1.0,0.0,0.025,0.026,37,662,42,570,22,10,49.41
5700,Winter,200,2897.6,124.35,143.8,0.0,0.0,0.303,0.319,0.0,0.0,0.0,0.0,0.33,0.7,0.013,0.024,9,694,37,572,23,10,59.17
5800,Winter,300,2825.9,150.0,106.2,0.0,0.0,0.381,0.54,0.308,0.0,0.0,0.0,0.23,0.2,0.009,0.022,9,714,27,578,24,10,51.74
5900,Winter,400,2758.2,91.73,114.11,0.0,0.066,0.497,0.785,0.0,0.0,0.0,0.0,1.0,0.01,0.037,0.042,20,733,33,581,24,10,42.2
6000,Spring,0,2694.7,65.6,85.99,0.214,0.008,0.292,0.663,0.0,0.0,0.002,0.0,1.0,0.0,0.036,0.038,29,750,39,591,24,10,58.26
6100,Spring,100,2764.2,61.85,109.13,0.321,0.0,0.281,0.564,0.0,0.0,0.002,0.0,1.0,0.63,0.035,0.036,39,770,46,597,24,10,58.18
6200,Spring,200,2818.2,116.6,143.2,0.0,0.0,0.258,0.337,0.0,0.0,0.0,0.0,0.63,1.0,0.016,0.026,21,796,47,599,25,10,65.73
6300,Spring,300,2870.4,124.44,128.2,0.0,0.0,0.258,0.516,0.659,0.0,0.0,0.0,0.12,0.24,0.004,0.0,6,18,32,300,26,11,62.97
6400,Spring,400,2914.6,38.22,102.0,0.574,0.0,0.0,0.109,0.0,0.444,0.007,0.0,1.0,0.01,0.01,-0.0,18,1,44,150,26,12,74.33
6500,Summer,0,2942.7,44.53,101.09,0.509,0.01,0.132,0.158,0.0,0.504,0.178,0.0,1.0,0.02,0.006,0.0,28,1,50,82,26,13,70.29
6600,Summer,100,3000.2,122.47,86.45,0.0,0.0,0.274,0.569,0.0,0.0,0.0,0.0,0.64,0.03,0.02,0.018,25,30,45,99,27,13,60.8
6700,Summer,200,3065.3,0.66,111.79,0.889,0.0,0.038,0.538,0.0,0.0,0.165,0.0,1.0,0.0,0.011,-0.001,32,1,45,51,27,14,73.11
6800,Summer,300,3113.6,101.73,68.23,0.0,0.205,0.139,0.392,0.0,0.0,0.0,0.0,0.99,0.12,0.017,0.017,39,18,56,60,28,14,67.62
6900,Summer,400,3152.4,89.28,150.0,0.0,0.0,0.221,0.212,0.0,0.891,0.037,0.0,1.0,0.09,0.007,0.001,47,9,60,41,28,15,66.07
7000,Autumn,0,3180.8,66.14,110.05,0.243,0.188,0.371,0.77,0.0,0.0,0.036,0.0,1.0,0.01,0.022,0.02,56,41,63,62,28,15,49.93
7100,Autumn,100,3159.0,83.14,90.62,0.0,0.027,0.458,0.824,0.0,0.0,0.044,0.0,1.0,0.0,0.026,0.026,63,60,67,81,28,15,44.55
7200,Autumn,200,3140.1,72.81,94.48,0.193,0.0,0.578,0.944,0.0,0.0,0.042,0.0,1.0,0.0,0.055,0.054,72,80,71,101,28,15,34.48
7300,Autumn,300,3122.1,150.0,90.05,0.0,0.008,0.682,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.047,0.052,18,97,43,118,29,15,25.61
7400,Autumn,400,3097.4,149.01,100.96,0.0,0.0,0.799,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.253,47,114,67,135,29,15,17.03
7500,Winter,0,3067.5,81.07,90.58,0.0,0.0,0.601,0.947,0.0,0.0,0.0,0.0,0.74,0.0,0.187,0.187,80,132,94,153,29,15,34.18
7600,Winter,100,2928.4,150.0,101.11,0.0,0.0,0.62,0.919,0.0,0.0,0.0,0.0,1.0,0.0,0.162,0.163,155,150,162,171,29,15,31.3
7700,Winter,200,2836.4,104.9,99.75,0.0,0.0,0.542,0.888,0.0,0.0,0.0,0.0,1.0,0.0,0.118,0.118,179,167,181,188,29,15,37.44
7800,Winter,300,2761.4,88.92,108.49,0.0,0.131,0.451,0.792,0.0,0.0,0.0,0.0,1.0,0.01,0.098,0.097,189,186,185,207,29,15,45.12
7900,Winter,400,2691.0,103.34,86.73,0.0,0.038,0.485,0.838,0.0,0.0,0.0,0.0,1.0,0.0,0.079,0.079,199,203,189,224,29,15,43.32
8000,Spring,0,2626.1,101.19,84.56,0.0,0.087,0.461,0.804,0.0,0.0,0.0,0.0,1.0,0.0,0.067,0.066,211,222,193,243,29,15,45.89
