tick,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,distance
25100,37.0,42.5,0.285,0.09,0.363,0.359,3435,3395,412,437,54.08
25200,65.0,55.5,0.0,0.0,0.356,0.34,3457,3405,414,436,56.61
25300,43.0,65.5,0.115,0.0,0.478,0.483,3474,3429,417,439,44.78
25400,15.0,47.5,0.395,0.04,0.388,0.373,3488,3449,416,438,51.89
25500,71.0,60.0,0.0,0.0,0.317,0.323,3505,3462,420,439,57.8
25600,46.0,61.0,0.255,0.0,0.352,0.349,3516,3475,427,439,55.47
25700,86.0,29.0,0.0,0.485,0.221,0.212,3531,3491,425,439,67.62
25800,44.0,15.0,0.135,0.465,0.289,0.306,3556,3505,426,440,59.03
25900,89.0,15.0,0.0,0.355,0.283,0.291,3572,3516,426,441,61.55
26000,19.0,33.0,0.325,0.375,0.236,0.234,3584,3529,427,441,63.6
26100,33.0,31.5,0.165,0.35,0.358,0.349,3615,3539,428,441,55.97
26200,37.5,27.5,0.17,0.22,0.356,0.372,3633,3562,428,441,54.63
26300,39.5,85.5,0.11,0.0,0.573,0.557,3652,3582,428,445,37.12
26400,29.5,43.5,0.3,0.1,0.526,0.51,3666,3598,431,446,40.71
26500,63.5,37.5,0.02,0.51,0.315,0.306,3679,3613,432,447,58.8
26600,25.5,21.5,0.26,0.31,0.393,0.404,3698,3626,435,448,51.0
26700,5.5,33.5,0.48,0.22,0.388,0.392,3712,3639,436,449,51.31
26800,4.5,51.5,0.56,0.14,0.315,0.298,3721,3663,437,449,59.67
26900,17.0,21.5,0.385,0.33,0.42,0.437,3734,3677,437,450,49.2
100,46.49,47.81,0.15,0.233,0.197,0.198,10,7,13,13,68.77
