tick,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,distance
4400,65.5,59.0,0.0,0.015,0.174,0.173,499,468,177,144,70.84
4500,72.0,45.0,0.0,0.045,0.092,0.083,511,480,178,144,77.08
100,39.28,59.34,0.132,0.012,0.125,0.133,8,7,20,9,73.55
200,78.88,38.77,0.0,0.207,0.233,0.224,19,17,31,30,65.95
300,54.5,100.0,0.16,0.0,0.292,0.0,33,31,49,45,67.18
400,73.5,94.0,0.1,0.045,0.1,0.091,44,38,55,46,77.16
500,33.21,60.72,0.243,0.0,0.299,0.288,60,57,70,83,59.46
600,34.91,33.16,0.166,0.253,0.345,0.339,80,70,88,95,54.71
700,9.0,29.5,0.475,0.27,0.225,0.208,90,85,93,101,66.53
800,11.5,2.0,0.41,0.515,0.201,0.192,105,94,99,102,70.0
900,89.0,52.63,0.0,0.0,0.115,0.099,114,114,98,113,77.9
1000,1.0,29.5,0.485,0.27,0.216,0.208,132,120,105,113,67.18
1100,57.5,29.5,0.18,0.32,0.124,0.141,135,131,106,120,71.51
1200,27.5,2.5,0.35,0.56,0.133,0.15,143,141,105,120,71.42
1300,3.5,25.53,0.57,0.28,0.319,0.309,155,159,110,130,59.2
1400,83.0,62.5,0.0,0.06,0.129,0.138,167,174,115,141,72.47
1500,55.5,67.0,0.0,0.0,0.124,0.132,177,188,116,148,75.07
1600,19.5,40.0,0.6,0.125,0.09,0.091,183,196,115,149,77.83
1700,83.5,11.0,0.15,0.465,0.123,0.115,188,203,106,146,75.01
1800,21.45,17.0,0.4,0.395,0.258,0.266,203,218,116,149,62.24
1900,94.0,96.0,0.045,0.0,0.149,0.157,217,230,126,150,71.59
2000,67.0,66.0,0.0,0.145,0.133,0.135,226,239,128,147,73.25
2100,43.0,38.0,0.125,0.125,0.183,0.183,236,248,130,147,67.94
2200,26.0,11.0,0.325,0.385,0.212,0.215,246,255,132,148,67.2
2300,100.0,52.0,0.0,0.005,0.0,0.266,255,273,131,158,63.66
2400,28.0,23.0,0.405,0.265,0.333,0.342,270,281,133,161,56.61
2500,18.5,12.0,0.33,0.425,0.275,0.266,280,291,133,164,62.24
2600,18.5,82.5,0.48,0.0,0.183,0.199,292,299,133,164,68.01
2700,23.5,12.5,0.49,0.41,0.256,0.255,302,313,138,169,63.41
2800,84.5,100.0,0.0,0.0,0.142,0.0,320,323,146,167,75.66
2900,63.0,80.0,0.235,0.0,0.091,0.1,329,333,149,168,74.97
3000,77.5,48.0,0.21,0.175,0.156,0.147,345,340,150,170,73.0
3100,51.0,16.79,0.155,0.407,0.19,0.181,353,357,150,176,69.43
3200,85.0,51.3,0.0,0.082,0.28,0.279,372,380,153,190,62.63
3300,18.82,31.3,0.537,0.182,0.333,0.323,384,397,158,191,57.14
3400,94.0,17.5,0.0,0.33,0.196,0.188,399,407,166,191,70.29
3500,68.0,38.38,0.0,0.151,0.23,0.223,410,422,166,204,66.07
3600,44.0,13.0,0.095,0.375,0.17,0.163,418,433,170,206,69.63
3700,12.5,19.5,0.54,0.39,0.183,0.183,426,447,170,205,70.04
3800,92.5,46.0,0.06,0.115,0.261,0.258,435,462,167,209,64.35
3900,26.5,76.0,0.29,0.225,0.167,0.173,453,473,172,209,70.72
4000,6.5,58.0,0.45,0.405,0.234,0.227,470,481,178,210,64.2
4100,1.47,40.0,0.54,0.335,0.314,0.316,485,489,184,211,56.61
4200,3.5,52.0,0.54,0.0,0.253,0.245,499,503,186,211,62.63
4300,10.5,40.0,0.47,0.115,0.353,0.349,512,514,186,210,55.57
4400,84.0,6.0,0.0,0.515,0.191,0.175,527,528,193,212,70.72
4500,86.5,30.5,0.12,0.45,0.099,0.098,538,544,195,213,75.82
4600,67.0,85.0,0.315,0.0,0.131,0.147,548,562,196,219,72.47
4700,50.0,69.0,0.215,0.165,0.131,0.147,555,572,194,219,70.94
